sampleid,location,county,state,full_state,date_collect,sampletype,collection,consumed,expectedsubstance,expect_opioid,expect_fentanyl,expect_xylazine,expect_stimulant,expect_benzo,expect_meth,expect_cocaine,expect_cannabis,expect_hall,color,bright_color,texture,tar,pill,powder,plant,crystals,lustre,sensations,sen_strength,sen_weird,sen_hall,sen_up,sen_down,sen_nice,sen_long,sen_burn,sen_skin,sen_seizure,texture_notes,sensation_notes,overdose,od,overdose_notes,fatal_od,confirmatory,date_complete,primary,trace,lab_null,lab_num_substances_any,lab_num_substances,lab_fentanyl,lab_fentanyl_any,lab_xylazine,lab_xylazine_any,lab_xylazine_trace,lab_meth,lab_meth_any,lab_cocaine,lab_cocaine_any,lab_caffeine,lab_gabapentin,lab_levamisole_any,lab_mdma,lab_tramadol,lab_carfentanil,lab_carfentanil_any,lab_ketamine_any,lab_ketamine,lab_designer_benzos_any,lab_benzos_any,lab_nitazenes_any,lab_opiates_opioids_any,lab_synthetic_cannabinoids_any,lab_meth_impurities_any,lab_mdma_impurities_any,lab_cocaine_impurities_any,lab_common_cuts_any,lab_heroin_impurities_any,lab_cannabinoids_any,lab_fentanyl_impurities_any,lab_pf_fent_impurities_any,lab_substituted_cathinones_any,state_county,statefips,countyfips_3,countyfips,tracestim,category,program
"300692","Phoenix","Maricopa County","AZ","Arizona","14Sep2022","cotton","cotton",1,"heroin",1,0,0,0,0,0,0,0,0,"light brown",0,"powder; chunky",,,1,,,"","weaker","weaker",,,,,,,,,,"","","not overdose related","not involved","",,0,"20Sep2022",1,1,,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"AZ | MARICOPA",4,13,4013,1,"",10
"300608","Phoenix","Maricopa County","AZ","Arizona","14Sep2022","swab","swab",1,"heroin",1,0,0,0,0,0,0,0,0,"black; brown",0,"powder; dull",,,1,,,"dull","weaker; more up","weaker",,,1,,,,1,,,"smooshy","not bad not good either, burns even in vein, tissue damage","not overdose related","not involved","",,0,"20Sep2022",1,1,,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"AZ | MARICOPA",4,13,4013,1,"",10
"300693","Phoenix","Maricopa County","AZ","Arizona","15Sep2022","pill","pill",1,"fentanyl",1,1,0,0,0,0,0,0,0,"light blue",1,"fake pill",,1,,,,"","normal","normal",,,,,,,,,,"M 30 blue","just want to know wtf is in these","not overdose related","not involved","",,0,"20Sep2022",1,0,,4,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"AZ | MARICOPA",4,13,4013,0,"Methamphetamine",10
"300808","Phoenix","Maricopa County","AZ","Arizona","10Oct2022","swab","swab",1,"fentanyl",1,1,0,0,0,0,0,0,0,"light brown",0,"powder",,,1,,,"","weird","",1,,,,,,1,,,"swab in a bag","off-taste, burning bad","not overdose related","not involved","",,0,"05Jan2023",1,1,,5,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"AZ | MARICOPA",4,13,4013,0,"Methamphetamine",10
"300865","Tempe","Maricopa County","AZ","Arizona","08Oct2022","unknown","unknown",1,"methamphetamine",0,0,0,1,0,1,0,0,0,"opaque",0,"crystals",,,,,1,"","weaker","weaker",,,,,,,,,,"","","not overdose related","not involved","",,0,"18Oct2022",1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AZ | MARICOPA",4,13,4013,0,"Methamphetamine",10
"300653","Phoenix","Maricopa County","AZ","Arizona","13Sep2022","swab","swab",1,"methamphetamine",0,0,0,1,0,1,0,0,0,"opaque",0,"crystals",,,,,1,"","normal; weird; more down","normal",1,,,1,,,,,,"","said they felt sleepy after using but also smoked some fentanyl so?","not overdose related","not involved","",,0,"21Sep2022",1,0,,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AZ | MARICOPA",4,13,4013,0,"Methamphetamine",10
"300675","Tempe","Maricopa County","AZ","Arizona","14Sep2022","pill","pill",1,"benzodiazepine",0,0,0,0,1,0,0,0,0,"green",1,"fake pill",,1,,,,"","nice; stronger","stronger",,,,,1,,,,," XANAX  green hulk, not an actual prescription pill","good stuff. But what is it?","not overdose related","not involved","",,0,"06Oct2022",1,1,,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,"AZ | MARICOPA",4,13,4013,1,"",10
"800342","Los Angeles","Los Angeles County","CA","California","23Jan2023","spatula","spatula",0,"cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder; dull",,,1,,,"dull","","",,,,,,,,,,"","","not overdose related","not involved","",,1,"30Jan2023",1,1,,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"CA | LOS ANGELES",6,37,6037,0,"Cocaine",28
"800128","San Francisco","San Francisco","CA","California","17Jan2023","spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"colorless",1,"crystals",,,,,1,"","","",,,,,,,,,,"","","not overdose related","not involved","",,1,"26Jan2023",1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Methamphetamine",28
"800303","San Francisco","San Francisco","CA","California","13Feb2023","spatula","spatula",0,"cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder; dull",,,1,,,"dull","","",,,,,,,,,,"","hasn't been consumed","not overdose related","not involved","",,1,"17Mar2023",1,1,,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Cocaine",28
"800383","San Francisco","San Francisco","CA","California","23Feb2023","spatula","spatula",0,"unknown",0,0,0,0,0,0,0,0,0,"white",0,"powder; dull",,,1,,,"dull","","",,,,,,,,,,"","","not overdose related","not involved","",,1,"22Mar2023",1,1,,7,3,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Methamphetamine",31
"800108","San Francisco","San Francisco","CA","California","23Jan2023","spatula","spatula",0,"crack",0,0,0,1,0,0,1,0,0,"white",0,"chunky",,,,,,"","","",,,,,,,,,,"","not yet consumed","not overdose related","not involved","",,1,"30Jan2023",1,1,,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Cocaine",28
"800301","San Francisco","San Francisco","CA","California","16Feb2023","spatula","spatula",1,"benzodiazepine",0,0,0,0,1,0,0,0,0,"yellow",1,"fake pill",,1,,,,"","weaker","stronger",,,,,,,,,,"","less strong","unknown","","",,1,"21Mar2023",1,1,,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,1,"",31
"800310","San Francisco","San Francisco","CA","California","07Feb2023","spatula","spatula",1,"methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,"","nice","",,,,,1,,,,,"","helped them focus","not overdose related","not involved","",,1,"20Mar2023",1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Methamphetamine",28
"800361","San Francisco","San Francisco","CA","California","30Jan2023","spatula","spatula",0,"unknown",0,0,0,0,0,0,0,0,0,"white",0,"powder; dull",,,1,,,"dull","","",,,,,,,,,,"","","not overdose related","not involved","",,1,"07Feb2023",1,1,,5,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Methamphetamine",28
"800325","San Francisco","San Francisco","CA","California","16Feb2023","spatula","spatula",0,"benzodiazepine",0,0,0,0,1,0,0,0,0,"white",0,"pill",,1,,,,"","","",,,,,,,,,,"","better","not overdose related","not involved","",,1,"23Mar2023",1,1,,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,1,"",31
"800111","San Francisco","San Francisco","CA","California","22Dec2022","spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"colorless",1,"crystals",,,,,1,"","","",,,,,,,,,,"","n/a","not overdose related","not involved","",,1,"09Jan2023",1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Methamphetamine",28
"800185","San Francisco","San Francisco","CA","California","06Dec2022","spatula","spatula",1,"MDMA",0,0,0,0,0,0,0,0,1,"yellow",1,"powder; dull",,,1,,,"dull","nice","",,,,,1,,,,,"","really good, this batch last taken several years ago","not overdose related","not involved","",,1,"13Jan2023",0,1,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,1,"",28
"800370","San Francisco","San Francisco","CA","California","07Feb2023","spatula","spatula",0,"cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder; flaky",,,1,,,"","","",,,,,,,,,,"","N/A, hasn't used","unknown","","",,1,"17Mar2023",1,1,,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Cocaine",28
"800158","San Francisco","San Francisco","CA","California","12Dec2022","unknown","unknown",1,"heroin",1,0,0,0,0,0,0,0,0,"brown",0,"powder; dull",,,1,,,"dull","normal","normal",,,,,,,,,,"","nothing of note","not overdose related","not involved","",,1,"10Jan2023",1,1,,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,1,"",28
"800333","San Francisco","San Francisco","CA","California","07Feb2023","spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,"","","",,,,,,,,,,"","pre-consumption","not overdose related","not involved","",,1,"20Mar2023",1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Methamphetamine",28
"800372","San Francisco","San Francisco","CA","California","06Feb2023","spatula","spatula",1,"heroin",1,0,0,0,0,0,0,0,0,"brown",0,"tar",,,,,,"","nice","",,,,,1,,,,,"","nothing of note","not overdose related","not involved","",,1,"16Mar2023",1,1,,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,1,"",28
"800144","San Francisco","San Francisco","CA","California","23Jan2023","spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"colorless",1,"crystals",,,,,1,"","","",,,,,,,,,,"","not yet consumed","not overdose related","not involved","",,1,"31Jan2023",1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Methamphetamine",28
"800324","San Francisco","San Francisco","CA","California","14Feb2023","spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"colorless",1,"crystals",,,,,1,"","","",,,,,,,,,,"","nothing of note","not overdose related","not involved","",,1,"21Mar2023",1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Methamphetamine",28
"800335","San Francisco","San Francisco","CA","California","16Feb2023","spatula","spatula",1,"methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,"","normal","normal",,,,,,,,,,"","","not overdose related","not involved","",,1,"22Mar2023",1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Methamphetamine",31
"800337","San Francisco","San Francisco","CA","California","23Feb2023","unknown","unknown",1,"fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder; chunky",,,1,,,"","normal","normal",,,,,,,,,,"shared bag with meth","","not overdose related","not involved","",,1,"22Mar2023",1,1,,7,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,"CA | SAN FRANCISCO",6,75,6075,1,"",31
"800362","San Francisco","San Francisco","CA","California","23Feb2023","spatula","spatula",1,"methamphetamine",0,0,0,1,1,1,0,0,0,"",0,"crystals",,,,,1,"","normal","normal",,,,,,,,,,"","small hits made it feel like a benzo","not overdose related","not involved","",,1,"22Mar2023",1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Methamphetamine",31
"800304","San Francisco","San Francisco","CA","California","14Feb2023","spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"colorless",1,"crystals",,,,,1,"","","",,,,,,,,,,"","NA","not overdose related","not involved","",,1,"21Mar2023",1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Methamphetamine",28
"800350","San Francisco","San Francisco","CA","California","13Feb2023","spatula","spatula",0,"crack",0,0,0,1,0,0,1,0,0,"white",0,"powder; chunky",,,1,,,"","","",,,,,,,,,,"","NA","not overdose related","not involved","",,1,"17Mar2023",1,1,,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Cocaine",28
"800390","San Francisco","San Francisco","CA","California","23Feb2023","spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,"","","",,,,,,,,,,"","","not overdose related","not involved","",,1,"22Mar2023",1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Methamphetamine",31
"800148","San Francisco","San Francisco","CA","California","19Dec2022","spatula","spatula",0,"crack",0,0,0,1,0,0,1,0,0,"white",0,"powder; chunky",,,1,,,"","","",,,,,,,,,,"","not good","not overdose related","not involved","",,1,"09Jan2023",1,1,,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Cocaine",28
"800138","San Francisco","San Francisco","CA","California","03Jan2023","spatula","spatula",1,"cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder; flaky",,,1,,,"","normal","normal",,,,,,,,,,"","cleaner","not overdose related","not involved","",,1,"25Jan2023",1,1,,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Cocaine",28
"800115","San Francisco","San Francisco","CA","California","03Jan2023","spatula","spatula",1,"methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,"","weird; stronger; unpleasant; hallucinations","stronger",1,1,,,,,,,,"","fuzzy","not overdose related","not involved","",,1,"26Jan2023",1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Methamphetamine",28
"800198","San Francisco","San Francisco","CA","California","19Dec2022","spatula","spatula",1,"methamphetamine",0,0,0,1,0,1,0,0,0,"colorless",1,"crystals",,,,,1,"","weird","",1,,,,,,,,,"","","not overdose related","not involved","",,1,"09Jan2023",1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Methamphetamine",28
"800194","San Francisco","San Francisco","CA","California","06Jan2023","spatula","spatula",0,"cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder",,,1,,,"","","",,,,,,,,,,"","","not overdose related","not involved","",,1,"25Jan2023",1,1,,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Cocaine",28
"800349","San Francisco","San Francisco","CA","California","23Feb2023","spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"colorless",1,"crystals",,,,,1,"","","",,,,,,,,,,"","","not overdose related","not involved","",,1,"22Mar2023",1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CA | SAN FRANCISCO",6,75,6075,0,"Methamphetamine",31
