sampleid,program,location,county,state,full_state,date_collect,sampletype,collection,consumed,expectedsubstance,expect_opioid,expect_fentanyl,expect_xylazine,expect_stimulant,expect_benzo,expect_meth,expect_cocaine,expect_cannabis,expect_hall,color,bright_color,texture,tar,pill,powder,plant,crystals,lustre,sensations,sen_strength,sen_weird,sen_hall,sen_up,sen_down,sen_nice,sen_long,sen_burn,sen_skin,sen_seizure,texture_notes,sensation_notes,overdose,od,overdose_notes,fatal_od,confirmatory,date_complete,lab_num_substances_any,lab_num_substances,lab_null,lab_fentanyl,lab_fentanyl_any,lab_xylazine,lab_xylazine_any,lab_xylazine_trace,lab_meth,lab_meth_any,lab_cocaine,lab_cocaine_any,lab_caffeine,lab_gabapentin,lab_levamisole_any,lab_mdma,lab_tramadol,lab_carfentanil,lab_carfentanil_any,lab_ketamine_any,lab_ketamine,lab_btmps_any,lab_btmps,lab_opioid,lab_opioid_any,lab_synthetic_cannabinoid,lab_synthetic_cannabinoid_any,lab_potent_benzodiazepine,lab_potent_benzodiazepine_any,lab_benzodiazepine,lab_benzodiazepine_any,lab_nitazene,lab_nitazene_any,lab_meth_impurities_any,lab_mdma_impurities_any,lab_cocaine_impurities_any,lab_common_cuts_any,lab_heroin_impurities_any,lab_cannabinoids_any,lab_fentanyl_impurities_any,lab_pf_fent_impurities_any,lab_substituted_cathinones_any,program_county,state_county,statefips,countyfips_3,countyfips
"300382","sjf6c","Suffolk County","Suffolk County","NY","New York","25jul2022","cotton","cotton","taken","heroin; fentanyl; Unknown",1,1,0,0,0,0,0,0,0,"white",0,"powder; pill",,1,1,,,"","weaker; weird","weaker",1,,,1,,,,1,,,"drowsy, fast heartbeat, not usual warmth","not overdose related",0,,,1,"29jul2022",8,5,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"300613","u3fyp","Schenectady","Schenectady County","NY","New York","30sep2022","cotton","cotton","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"gray; white",0,"",,,,,,"","more up","",,,1,,,,,,,,"","involved in OD",1,,,1,"06oct2022",9,4,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Albany County","NY | SCHENECTADY COUNTY",36,93,36093
"300644","u3fyp","Galway","Saratoga County","NY","New York","30sep2022","swab","swab","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder; chunky",,,1,,,"","stronger","stronger",,,,1,,,,,,,"fast acting","involved in OD",1,,,1,"06oct2022",6,6,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"Albany County","NY | SARATOGA COUNTY",36,91,36091
"300672","u3fyp","Albany","Albany County","NY","New York","29sep2022","cotton","cotton","unused","unknown",0,0,0,0,0,0,0,0,0,"gray",0,"",,,,,,"","","",,,,,,,,,,,"","not overdose related",0,,,1,"11oct2022",7,6,,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"Albany County","NY | ALBANY COUNTY",36,1,36001
"300674","u3fyp","Troy","Rensselaer County","NY","New York","29sep2022","spatula","spatula","unused","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"",0,"powder",,,1,,,"","","",,,,,,,,,,,"","not overdose related",0,,,1,"06oct2022",6,1,,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"Albany County","NY | RENSSELAER COUNTY",36,83,36083
"300736","u3fyp","Mayfield","Fulton County","NY","New York","30sep2022","cotton","cotton","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"gray",0,"powder",,,1,,,"","more up","",,,1,,,,,,,,"","not overdose related",0,,,1,"11oct2022",2,2,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Albany County","NY | FULTON COUNTY",36,35,36035
"300804","sjf6c","Suffolk County","Suffolk County","NY","New York","25nov2022","spatula","spatula","taken","unknown",0,0,0,0,0,0,0,0,0,"off-white; white",0,"",,,,,,"","long; stronger; more down","stronger",1,,,1,,1,,,,,"sleepy/noddy even with uppers","not overdose related",0,,,1,"02dec2022",4,1,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"300807","sjf6c","","Suffolk County","NY","New York","25nov2022","spatula","spatula","taken","fentanyl",1,1,0,0,0,0,0,0,0,"Beige",0,"powder",,,1,,,"","weaker","weaker",,,,,,,,,,,"","not overdose related",0,,,1,"05dec2022",5,1,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"300810","u3fyp","Amsterdam","Montgomery County","NY","New York","16nov2022","cotton","cotton","taken","fentanyl",1,1,0,0,0,0,0,0,0,"gray",0,"powder; dull",,,1,,,"dull","normal","normal",,,,,,,,,,,"","involved in OD",1,,,1,"21nov2022",12,5,,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,"Albany County","NY | MONTGOMERY COUNTY",36,57,36057
"300821","rgyas","Ithaca","Tompkins County","NY","New York","22nov2022","spatula","spatula","taken","LSD",0,0,0,0,0,0,0,0,1,"green",1,"stamp",,,,,,"","nice; stronger","stronger",,,,,1,,,,,,"nice visuals","not overdose related",0,,,1,"02dec2022",3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"","NY | TOMPKINS COUNTY",36,109,36109
"300831","rgyas","Ithaca","Tompkins County","NY","New York","23nov2022","swab","swab","unused","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"powder; shiny",,,1,,,"shiny","","",,,,,,,,,,,"","not overdose related",0,,,1,"29nov2022",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","NY | TOMPKINS COUNTY",36,109,36109
"300839","rgyas","Ithaca","Tompkins County","NY","New York","22nov2022","unknown","unknown","taken","heroin; methamphetamine",1,0,0,1,0,1,0,0,0,"light blue",1,"powder; dull",,,1,,,"dull","","",,,,,,,,,,,"hot shot, OD shot","involved in OD",1,,,1,"08dec2022",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","NY | TOMPKINS COUNTY",36,109,36109
"300840","sjf6c","Suffolk County","Suffolk County","NY","New York","29nov2022","cotton","cotton","taken","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","","",,,,,,,,,,,"really not sensation","not overdose related",0,,,1,"02dec2022",8,2,,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"300851","rgyas","Ithaca","Tompkins County","NY","New York","23nov2022","swab","swab","unused","heroin",1,0,0,0,0,0,0,0,0,"pink",1,"crystals",,,,,1,"","","",,,,,,,,,,,"","unknown",,,,1,"01dec2022",5,3,,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"","NY | TOMPKINS COUNTY",36,109,36109
"300873","u3fyp","Schenectady","Schenectady County","NY","New York","16nov2022","swab","swab","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder; flaky",,,1,,,"","stronger","stronger",,,,1,,,,,,,"fall out quickly - ears ringing after reversal","involved in OD",1,,,1,"21nov2022",7,6,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"Albany County","NY | SCHENECTADY COUNTY",36,93,36093
"300878","u3fyp","Saratoga","Saratoga County","NY","New York","16nov2022","spatula","spatula","taken","heroin; fentanyl; methamphetamine",1,1,0,1,0,1,0,0,0,"pink",1,"powder; chunky",,,1,,,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,1,"21nov2022",3,3,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"Albany County","NY | SARATOGA COUNTY",36,91,36091
